HDR;EUR/USD;11.05.2014 21:52:00;12.05.2014 09:52:00;m1;1;0.00001
DAT;11.05.2014 22:38:00;1.375510;1.375520;1.375450;1.375460;1.375760;1.375760;1.375700;1.375710;32;32
DAT;11.05.2014 22:39:00;1.375460;1.375490;1.375450;1.375460;1.375710;1.375730;1.375710;1.375710;12;12
DAT;11.05.2014 22:40:00;1.375460;1.375490;1.375460;1.375480;1.375710;1.375740;1.375710;1.375720;19;19
DAT;11.05.2014 22:41:00;1.375480;1.375490;1.375450;1.375450;1.375720;1.375720;1.375680;1.375690;40;40
DAT;11.05.2014 22:42:00;1.375450;1.375450;1.375370;1.375370;1.375690;1.375690;1.375610;1.375610;18;18
DAT;11.05.2014 22:43:00;1.375370;1.375390;1.375300;1.375350;1.375610;1.375630;1.375540;1.375590;38;38
DAT;11.05.2014 22:44:00;1.375350;1.375420;1.375350;1.375380;1.375590;1.375650;1.375590;1.375630;28;28
DAT;11.05.2014 22:45:00;1.375380;1.375380;1.375350;1.375350;1.375630;1.375630;1.375610;1.375610;5;5
DAT;11.05.2014 22:46:00;1.375350;1.375360;1.375300;1.375360;1.375610;1.375610;1.375540;1.375600;30;30
DAT;11.05.2014 22:47:00;1.375360;1.375360;1.375280;1.375300;1.375600;1.375600;1.375520;1.375540;36;36
DAT;11.05.2014 22:48:00;1.375300;1.375380;1.375270;1.375270;1.375540;1.375620;1.375510;1.375510;41;41
DAT;11.05.2014 22:49:00;1.375270;1.375300;1.375270;1.375300;1.375510;1.375540;1.375510;1.375540;13;13
DAT;11.05.2014 22:50:00;1.375300;1.375400;1.375270;1.375400;1.375540;1.375620;1.375520;1.375610;32;32
DAT;11.05.2014 22:51:00;1.375400;1.375400;1.375360;1.375380;1.375610;1.375640;1.375610;1.375630;17;17
DAT;11.05.2014 22:52:00;1.375380;1.375380;1.375330;1.375370;1.375630;1.375630;1.375580;1.375620;19;19
DAT;11.05.2014 22:53:00;1.375370;1.375380;1.375370;1.375380;1.375620;1.375620;1.375620;1.375620;1;1
DAT;11.05.2014 22:54:00;1.375380;1.375380;1.375360;1.375370;1.375620;1.375630;1.375610;1.375610;12;12
DAT;11.05.2014 22:55:00;1.375370;1.375390;1.375360;1.375390;1.375610;1.375630;1.375610;1.375630;10;10
DAT;11.05.2014 22:56:00;1.375390;1.375390;1.375370;1.375370;1.375630;1.375630;1.375610;1.375620;5;5
DAT;11.05.2014 22:57:00;1.375370;1.375480;1.375370;1.375450;1.375620;1.375720;1.375610;1.375700;35;35
DAT;11.05.2014 22:58:00;1.375450;1.375500;1.375450;1.375500;1.375700;1.375740;1.375700;1.375740;9;9
DAT;11.05.2014 22:59:00;1.375500;1.375580;1.375430;1.375430;1.375740;1.375810;1.375690;1.375690;50;50
DAT;11.05.2014 23:00:00;1.375430;1.375460;1.375420;1.375430;1.375690;1.375710;1.375670;1.375690;28;28
DAT;11.05.2014 23:01:00;1.375430;1.375440;1.375430;1.375430;1.375690;1.375690;1.375680;1.375680;5;5
DAT;11.05.2014 23:02:00;1.375430;1.375440;1.375420;1.375420;1.375680;1.375680;1.375670;1.375670;10;10
DAT;11.05.2014 23:03:00;1.375420;1.375450;1.375420;1.375440;1.375670;1.375670;1.375670;1.375670;2;2
DAT;11.05.2014 23:04:00;1.375440;1.375440;1.375410;1.375420;1.375670;1.375670;1.375670;1.375670;9;9
DAT;11.05.2014 23:05:00;1.375420;1.375500;1.375410;1.375490;1.375670;1.375740;1.375670;1.375740;23;23
DAT;11.05.2014 23:06:00;1.375490;1.375550;1.375490;1.375550;1.375740;1.375790;1.375740;1.375790;34;34
DAT;11.05.2014 23:07:00;1.375550;1.375550;1.375520;1.375520;1.375790;1.375790;1.375760;1.375770;8;8
DAT;11.05.2014 23:08:00;1.375520;1.375540;1.375470;1.375520;1.375770;1.375790;1.375710;1.375770;61;61
DAT;11.05.2014 23:09:00;1.375520;1.375520;1.375500;1.375520;1.375770;1.375770;1.375730;1.375760;14;14
DAT;11.05.2014 23:10:00;1.375520;1.375600;1.375520;1.375540;1.375760;1.375830;1.375760;1.375780;45;45
DAT;11.05.2014 23:11:00;1.375540;1.375560;1.375540;1.375550;1.375780;1.375800;1.375780;1.375780;9;9
DAT;11.05.2014 23:12:00;1.375550;1.375580;1.375540;1.375540;1.375780;1.375830;1.375780;1.375790;12;12
DAT;11.05.2014 23:13:00;1.375540;1.375560;1.375510;1.375510;1.375790;1.375800;1.375760;1.375760;15;15
DAT;11.05.2014 23:14:00;1.375510;1.375510;1.375470;1.375490;1.375760;1.375760;1.375720;1.375740;14;14
DAT;11.05.2014 23:15:00;1.375490;1.375690;1.375490;1.375610;1.375740;1.375930;1.375740;1.375820;80;80
DAT;11.05.2014 23:16:00;1.375610;1.375770;1.375580;1.375690;1.375820;1.375990;1.375820;1.375920;122;122
DAT;11.05.2014 23:17:00;1.375690;1.375700;1.375690;1.375690;1.375920;1.375940;1.375920;1.375940;11;11
DAT;11.05.2014 23:18:00;1.375690;1.375700;1.375620;1.375670;1.375940;1.375940;1.375850;1.375930;30;30
DAT;11.05.2014 23:19:00;1.375670;1.375700;1.375670;1.375700;1.375930;1.375940;1.375930;1.375940;8;8
DAT;11.05.2014 23:20:00;1.375700;1.375700;1.375680;1.375680;1.375940;1.375940;1.375930;1.375930;3;3
DAT;11.05.2014 23:21:00;1.375680;1.375720;1.375670;1.375720;1.375930;1.375940;1.375920;1.375940;10;10
DAT;11.05.2014 23:22:00;1.375720;1.375850;1.375720;1.375840;1.375940;1.376100;1.375940;1.376100;43;43
DAT;11.05.2014 23:23:00;1.375840;1.375840;1.375690;1.375710;1.376100;1.376100;1.375940;1.375950;38;38
